"","statenum","state","legyear","X","percent5","Rperc","marginshift","rmarginshift","minwage","standmin","marginshift.10","rmarginshift.10","tax","standtax","standtaxlag1","indtax","taxdrop","labor","gverif","policy","landuse","occ","ocourts2","Frtp","frps","frent","findex","knpindex","kpacs","nlabel","nprice","nunfair","banstate","bancorp","bancorpunion","deepsouth","postcit","datayearlag2","datayarlag1","gdplag2","changegdp2","gdplag1","changegdp1","house","sen","dwnom","dwnomfull","unionmem","unemploylag1","firmslag","datayeardef","deficitlag1","tax09","tax08","tax07","tax06","tax05","tax04","tax03","tax02","tax01","tax00","indtaxrev","standintax"
"1",1,"AL",2003,62,4.285714286,33.80952381,0.22890726,0.22890726,5.15,0.702898551,0.210170968,0.210170968,-5,0.583333333,0.583333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,2001,2002,36425,-0.614962251,36201,-0.795558134,0.074,0.022,0.048,0.048,147,6,501,2002,-431242.5428,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"2",1,"AL",2004,63,4.285714286,33.80952381,0.22890726,0.22890726,5.15,0.702898551,0.210170968,0.210170968,-6.5,0.458333333,0.583333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,2002,2003,36201,-0.795558134,35913,-1.495280261,0.107,0.022,0.0645,0.0645,181,6,491,2003,-1377895.211,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"3",1,"AL",2005,64,4.285714286,33.80952381,0.22890726,0.22890726,5.15,0.702898551,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,2003,2004,35913,-1.495280261,35376,4.522840344,0.107,0.022,0.0645,0.0645,195,5.3,494,2004,-1268374.459,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"4",1,"AL",2006,65,4.285714286,33.80952381,0.22890726,0.22890726,5.15,0.702898551,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,0.900649626,0,0.291836144,0.711475842,0.166666667,-2.636472,0,0,0,3.75,0,0,0,-1,0,0,0,0,1,0,2004,2005,35376,4.522840344,36976,1.476633492,0.107,0.022,0.0645,0.0645,170,4.7,509,2005,-1791191.027,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"5",1,"AL",2007,66,5.238095238,37.61904762,0.210170968,0.210170968,5.85,0.601449275,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,2005,2006,36976,1.476633492,37522,0.567666969,0.063,0.015,0.039,0.039,180,4.3,529,2006,-1783458.518,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"6",1,"AL",2008,67,5.238095238,37.61904762,0.210170968,0.210170968,6.55,0.5,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,0.900649626,0,0.291924793,0.711475842,0.166666667,-2.626598,0,0,0,3.75,0,0,0,-1,0,0,0,0,1,0,2006,2007,37522,0.567666969,37735,-0.416059361,0.04,0.015,0.0275,0.0275,181,3.8,532,2007,-660945.7651,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"7",1,"AL",2009,68,5.238095238,37.61904762,0.210170968,0.210170968,7.25,0.398550725,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,2007,2008,37735,-0.416059361,37578,-2.331151205,0.052,0.277,0.1645,0.1645,191,4.6,548,2008,909372.0872,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"8",1,"AL",2010,69,5.238095238,37.61904762,0.210170968,0.210170968,7.25,0.398550725,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,0.900649626,0,0.32684364,0.711475842,0.25,-2.597418,0,0,0,3.75,0,0.5,0,-1,0,0,0,0,1,1,2008,2009,37578,-2.331151205,36702,-5.032423301,0.069,0.15,0.1095,0.1095,183,8.6,580,2009,360423.9863,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"9",1,"AL",2011,70,8.095238095,60.95238096,0.10912184,-0.10912184,7.25,0.398550725,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2009,2010,36702,-5.032423301,34855,-2.257925692,0.755,0.976,0.8655,0.8655,178,11.1,569,2010,-576724.631,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"10",1,"AL",2012,71,8.095238095,60.95238096,0.10912184,-0.10912184,7.25,0.398550725,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,0.900649626,-1,0.399061576,0.711475842,0.25,-2.27394,0,0,0,3.75,0,0.5,0,-1,0,0,0,0,1,1,2010,2011,34855,-2.257925692,34068,-2.219091229,0.755,0.976,0.8655,0.8655,166,9.7,591,2011,-537262.6982,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"11",1,"AL",2013,72,8.095238095,60.95238096,0.10912184,-0.10912184,7.25,0.398550725,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2011,2012,34068,-2.219091229,33312,-0.084053794,0.781,0.976,0.8785,0.8785,203,8.7,593,2012,-758491.3111,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"12",1,"AL",2014,73,8.095238095,60.95238096,0.10912184,-0.10912184,7.25,0.398550725,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,0.900649626,-1,0.400554517,0.464169421,0.25,-2.107652,0,0,0,3.75,0,0.5,0,-1,0,0,0,0,1,1,2012,2013,33312,-0.084053794,33284,-0.534791491,0.781,0.976,0.8785,0.8785,204,7.8,609,2013,-435688.4652,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"13",1,"AL",2015,74,6.190476191,71.42857143,0.40014315,-0.40014315,7.25,0.398550725,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2013,2014,33284,-0.534791491,33106,-2.845405667,0.781,0.976,0.8785,0.8785,190,7.1,617,2014,-433872.7124,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
"14",1,"AL",2016,75,NA,NA,NA,NA,7.25,0.398550725,0.210170968,0.210170968,-6.5,0.458333333,0.458333333,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2014,2015,33106,-2.845405667,32164,15.84690959,0.781,0.976,0.8785,0.8785,153,6.3,632,2015,-290845.9751,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.458333333,0.583333333,0.583333333,0.583333333,0.583333333,-5,0.62406015037594
