state,legyear,house,sen,dwnom,dwnomfull
AK,1993,,,,0.696
AK,1994,,,,0.696
AK,1995,0.73,0.662,0.696,0.696
AK,1996,0.73,0.662,0.696,0.696
AK,1997,0.741,0.709,0.725,0.725
AK,1998,0.741,0.709,0.725,0.725
AK,1999,0.72,0.709,0.7145,0.7145
AK,2000,0.72,0.709,0.7145,0.7145
AK,2001,0.707,0.715,0.711,0.711
AK,2002,0.707,0.715,0.711,0.711
AK,2003,0.676,0.733,0.7045,0.7045
AK,2004,0.676,0.733,0.7045,0.7045
AK,2005,0.657,0.61,0.6335,0.6335
AK,2006,0.657,0.61,0.6335,0.6335
AK,2007,0.638,0.564,0.601,0.601
AK,2008,0.628,0.564,0.596,0.596
AK,2009,,,,0.596
AK,2010,,,,0.596
AK,2011,0.635,0.058,0.3465,0.3465
AK,2012,0.635,0.058,0.3465,0.3465
AK,2013,0.646,0.638,0.642,0.642
AK,2014,0.646,0.638,0.642,0.642
AK,2015,0.646,0.638,0.642,0.642
AK,2016,0.646,0.638,0.642,0.642
AK,2017,0.646,0.638,0.642,0.642
AL,1993,,,,0.114
AL,1994,,,,0.114
AL,1995,,,,0.114
AL,1996,0.076,0.152,0.114,0.114
AL,1997,0.076,0.157,0.1165,0.1165
AL,1998,0.076,0.087,0.0815,0.0815
AL,1999,0.04,0.182,0.111,0.111
AL,2000,0.063,0.182,0.1225,0.1225
AL,2001,0.063,0.182,0.1225,0.1225
AL,2002,0.063,0.182,0.1225,0.1225
AL,2003,0.074,0.022,0.048,0.048
AL,2004,0.107,0.022,0.0645,0.0645
AL,2005,0.107,0.022,0.0645,0.0645
AL,2006,0.107,0.022,0.0645,0.0645
AL,2007,0.063,0.015,0.039,0.039
AL,2008,0.04,0.015,0.0275,0.0275
AL,2009,0.052,0.277,0.1645,0.1645
AL,2010,0.069,0.15,0.1095,0.1095
AL,2011,0.755,0.976,0.8655,0.8655
AL,2012,0.755,0.976,0.8655,0.8655
AL,2013,0.781,0.976,0.8785,0.8785
AL,2014,0.781,0.976,0.8785,0.8785
AL,2015,0.781,0.976,0.8785,0.8785
AL,2016,0.781,0.976,0.8785,0.8785
AL,2017,0.781,0.976,0.8785,0.8785
AR,1993,0.161,0.01,0.0855,0.0855
AR,1994,0.161,0.01,0.0855,0.0855
AR,1995,0.164,0.021,0.0925,0.0925
AR,1996,0.164,0.021,0.0925,0.0925
AR,1997,0.16,0.01,0.085,0.085
AR,1998,0.16,0.01,0.085,0.085
AR,1999,0.15,0.029,0.0895,0.0895
AR,2000,0.15,0.029,0.0895,0.0895
AR,2001,0.22,0.142,0.181,0.181
AR,2002,0.22,0.142,0.181,0.181
AR,2003,0.224,0.159,0.1915,0.1915
AR,2004,0.224,0.159,0.1915,0.1915
AR,2005,0.322,0.169,0.2455,0.2455
