state,datayeardef,legyear,deficitlag1
AL,2002,2003,-431242.5428
AL,2003,2004,-1377895.211
AL,2004,2005,-1268374.459
AL,2005,2006,-1791191.027
AL,2006,2007,-1783458.518
AL,2007,2008,-660945.7651
AL,2008,2009,909372.0872
AL,2009,2010,360423.9863
AL,2010,2011,-576724.631
AL,2011,2012,-537262.6982
AL,2012,2013,-758491.3111
AL,2013,2014,-435688.4652
AL,2014,2015,-433872.7124
AL,2015,2016,-290845.9751
AL,2016,2017,-290845.9751
AK,2002,2003,2312808.912
AK,2003,2004,-829575.0855
AK,2004,2005,-4164556.611
AK,2005,2006,-4799798.101
AK,2006,2007,-5131230.266
AK,2007,2008,-8814715.961
AK,2008,2009,-6088945.688
AK,2009,2010,6560572.422
AK,2010,2011,-5241456.704
AK,2011,2012,-10610220.58
AK,2012,2013,-4076655.055
AK,2013,2014,-6131167.701
AK,2014,2015,-6245561.269
AK,2015,2016,2319150.951
AK,2016,2017,5461926
AZ,2002,2003,339723.0213
AZ,2003,2004,1008094.69
AZ,2004,2005,-574465.0578
AZ,2005,2006,-2024929.491
AZ,2006,2007,-3653902.057
AZ,2007,2008,-2297681.243
AZ,2008,2009,377400.5462
AZ,2009,2010,2984248.082
AZ,2010,2011,199681.722
AZ,2011,2012,-1178765.649
AZ,2012,2013,-2142042.481
AZ,2013,2014,-2375390.59
AZ,2014,2015,-1593413.722
AZ,2015,2016,-1696829.726
AZ,2016,2017,-1572932
AR,2002,2003,-278863.7317
AR,2003,2004,-259600.2991
AR,2004,2005,-1053418.899
AR,2005,2006,-975450.7755
AR,2006,2007,-1046903.703
AR,2007,2008,-893874.588
AR,2008,2009,-414209.8993
AR,2009,2010,192001.6669
AR,2010,2011,-61020.98366
AR,2011,2012,-387232.3124
AR,2012,2013,-249059.2666
AR,2013,2014,-285242.4967
AR,2014,2015,1175450.208
AR,2015,2016,-771659.4815
AR,2016,2017,-741374
CA,2002,2003,17459553.07
CA,2003,2004,25895745.49
CA,2004,2005,10581391.37
CA,2005,2006,-4984445.831
CA,2006,2007,-5047933.859
CA,2007,2008,1400721.846
CA,2008,2009,13328377.02
CA,2009,2010,25522686.19
CA,2010,2011,18019529.39
CA,2011,2012,3467248.848
CA,2012,2013,7130695.323
CA,2013,2014,-10309992.42
CA,2014,2015,-9923970.66
CA,2015,2016,-15994812.03
CA,2016,2017,-10626968
CO,2002,2003,-304325.2713
CO,2003,2004,689061.9355
CO,2004,2005,-756558.3589
CO,2005,2006,-802245.72
CO,2006,2007,-1836430.497
CO,2007,2008,-1553537.21
CO,2008,2009,-842031.7718
CO,2009,2010,748448.1983
CO,2010,2011,1263364.524
CO,2011,2012,-526198.8254
CO,2012,2013,-1134898.529
CO,2013,2014,-1383167.925
CO,2014,2015,-1370861.029
CO,2015,2016,-801676.2088
CO,2016,2017,-223459
CT,2002,2003,2204764.414
CT,2003,2004,869374.8553
CT,2004,2005,229905.795
CT,2005,2006,109863.9702
CT,2006,2007,-699340.8208
CT,2007,2008,-642209.1284
CT,2008,2009,2196721.708
CT,2009,2010,3085795.031
CT,2010,2011,3785151.309
CT,2011,2012,541436.3202
CT,2012,2013,644998.2814
CT,2013,2014,-106138.3667
CT,2014,2015,1860008.481
CT,2015,2016,-2851177.922
CT,2016,2017,2477325
DE,2002,2003,-163817.7687
DE,2003,2004,-64333.24086
DE,2004,2005,-414294.5159
DE,2005,2006,-308267.8619
DE,2006,2007,-363911.9398
DE,2007,2008,-316105.3424
DE,2008,2009,142315.0551
DE,2009,2010,541771.2731
DE,2010,2011,2379.771032
DE,2011,2012,-152417.0073
DE,2012,2013,377576.2667
DE,2013,2014,-203392.7034
DE,2014,2015,186600.3607
DE,2015,2016,-55597.63477
DE,2016,2017,358779
FL,2002,2003,-2842352.335
FL,2003,2004,-3580211.654
FL,2004,2005,-4234585.668
FL,2005,2006,-2058290.938
FL,2006,2007,-2163395.189
FL,2007,2008,-5059886.624
FL,2008,2009,1544715.373
FL,2009,2010,5080531.627
FL,2010,2011,-3618706.028
FL,2011,2012,-3173852.93
FL,2012,2013,-5587054.366
FL,2013,2014,-8747215.984
FL,2014,2015,-8960996.295
FL,2015,2016,-5720156.85
FL,2016,2017,-5701691
GA,2002,2003,671891.6927
GA,2003,2004,1729053.478
GA,2004,2005,887908.6302
GA,2005,2006,163505.3689
GA,2006,2007,-1517959.371
GA,2007,2008,-2172000.75
GA,2008,2009,218103.6396
GA,2009,2010,2493264.21
GA,2010,2011,284919.7929
GA,2011,2012,-436483.2085
GA,2012,2013,-295318.2283
GA,2013,2014,-1549950.088
GA,2014,2015,-1547101.984
GA,2015,2016,-2165047.732
GA,2016,2017,-3416410
HI,2002,2003,400161.7513
HI,2003,2004,684859.978
HI,2004,2005,273545.0257
HI,2005,2006,-620197.3313
HI,2006,2007,-118504.5187
HI,2007,2008,34113.75075
HI,2008,2009,855858.1511
HI,2009,2010,2056595.06
HI,2010,2011,1127448.998
HI,2011,2012,518318.5526
HI,2012,2013,387997.1078
HI,2013,2014,-320046.01
HI,2014,2015,120652.9452
HI,2015,2016,-246332.8263
HI,2016,2017,-487836
ID,2002,2003,397597.7793
ID,2003,2004,-57799.71724
ID,2004,2005,-593052.207
ID,2005,2006,-675292.2295
ID,2006,2007,-841369.5094
ID,2007,2008,-1045095.466
ID,2008,2009,-392599.7973
ID,2009,2010,594741.2457
ID,2010,2011,-224369.9202
ID,2011,2012,-664719.9364
ID,2012,2013,-492481.8969
ID,2013,2014,-646248.8353
ID,2014,2015,-570331.4564
ID,2015,2016,-783181.473
ID,2016,2017,-404079
IL,2002,2003,6235821.095
IL,2003,2004,6327828.105
IL,2004,2005,3393775.651
IL,2005,2006,1731283.834
IL,2006,2007,139544.5438
IL,2007,2008,1511259.876
IL,2008,2009,4140509.47
IL,2009,2010,7661413.991
IL,2010,2011,10664779.87
IL,2011,2012,6249283.873
IL,2012,2013,2519430.26
IL,2013,2014,80012.54463
IL,2014,2015,417714.7407
IL,2015,2016,3398437.58
IL,2016,2017,5762004
IN,2002,2003,1013929.757
