state,legyear,unionmem,unemploylag1,firmslag
AK,2000,56,4.5,2207
AK,2001,58,4.7,2255
AK,2002,64,4.7,2243
AK,2003,59,6.1,2156
AK,2004,54,5.8,2155
AK,2005,63,6,2154
AK,2006,62,5.1,2215
AK,2007,68,4.1,2250
AK,2008,68,3.9,2301
AK,2009,65,4.5,2347
AK,2010,68,9.1,2349
AK,2011,68,11.7,2355
AK,2012,67,10.2,2372
AK,2013,71,8.1,2382
AK,2014,70,7.5,2425
AK,2015,60,7.2,2440
AK,2016,55,6,2495
AK,2017,55,6.1,2495
AL,2000,178,4.5,476
AL,2001,180,4.1,481
AL,2002,160,4,501
AL,2003,147,6,501
AL,2004,181,6,491
AL,2005,195,5.3,494
AL,2006,170,4.7,509
AL,2007,180,4.3,529
AL,2008,181,3.8,532
AL,2009,191,4.6,548
AL,2010,183,8.6,580
AL,2011,178,11.1,569
AL,2012,166,9.7,591
AL,2013,203,8.7,593
AL,2014,204,7.8,609
AL,2015,190,7.1,617
AL,2016,153,6.3,632
AL,2017,153,5.5,632
AR,2000,63,6.5,2609
AR,2001,67,6.3,2684
AR,2002,63,6.3,2759
AR,2003,50,6.8,2730
AR,2004,51,7.7,2740
AR,2005,54,7.7,2748
AR,2006,58,7.1,2799
AR,2007,62,6.9,2911
AR,2008,68,6.3,2974
AR,2009,47,6.5,3020
AR,2010,44,7.1,2963
AR,2011,47,8,2943
AR,2012,37,7.8,2957
AR,2013,38,7.4,2948
AR,2014,52,6.9,3042
AR,2015,58,7,3113
AR,2016,47,6.4,3176
AR,2017,47,6.5,3176
AZ,2000,140,4.8,1563
AZ,2001,132,4.4,1568
AZ,2002,121,4.5,1532
AZ,2003,113,5.5,1493
AZ,2004,145,5.6,1510
AZ,2005,145,5.9,1507
AZ,2006,197,5.4,1550
AZ,2007,230,5,1605
AZ,2008,227,5.2,1631
AZ,2009,162,5.1,1664
AZ,2010,161,7.1,1672
AZ,2011,149,8.2,1651
AZ,2012,125,8.4,1692
AZ,2013,122,7.7,1696
AZ,2014,138,7.4,1725
AZ,2015,138,6.7,1767
AZ,2016,122,5.6,1813
AZ,2017,122,4.2,1813
CA,2000,2195,5.6,5591
CA,2001,2287,5,5687
CA,2002,2444,4.8,5741
CA,2003,2414,6.5,5503
CA,2004,2385,6.8,5501
CA,2005,2424,6.5,5447
CA,2006,2273,5.7,5568
CA,2007,2474,5,5660
CA,2008,2740,5,5811
CA,2009,2453,6.1,5820
CA,2010,2431,9.8,5603
CA,2011,2379,12.1,5501
CA,2012,2489,12,5569
CA,2013,2430,10.9,5660
CA,2014,2472,9.5,5802
CA,2015,2486,8.1,5925
CA,2016,2551,6.8,6060
CA,2017,2551,5.7,6060
CO,2000,187,3.2,2855
CO,2001,179,2.8,2896
CO,2002,157,2.8,2877
CO,2003,156,5.4,2807
CO,2004,172,5.8,2764
CO,2005,170,5.8,2769
CO,2006,165,5.2,2838
CO,2007,191,4.5,2910
CO,2008,181,3.7,3012
CO,2009,153,4.2,3033
CO,2010,140,6.3,2997
CO,2011,179,8.5,3008
CO,2012,169,8.8,3033
CO,2013,171,8.1,3043
CO,2014,221,7.3,3127
CO,2015,194,5.9,3212
CO,2016,238,4.1,3282
CO,2017,238,3.4,3282
CT,2000,258,3,2070
CT,2001,232,2.8,2091
CT,2002,258,2.6,2101
CT,2003,229,3.4,2055
CT,2004,235,5.3,2002
CT,2005,247,5.2,1948
CT,2006,247,4.9,1969
CT,2007,253,4.5,2011
CT,2008,275,4.3,2041
CT,2009,265,5,2063
CT,2010,258,7,2069
CT,2011,259,9,2101
CT,2012,216,9.2,2133
CT,2013,207,8.2,2120
CT,2014,231,8.1,2147
CT,2015,269,7.1,2174
CT,2016,275,6.1,2201
CT,2017,275,5.5,2201
DE,2000,46,3.3,1251
DE,2001,47,3.5,1266
DE,2002,40,3.8,1260
DE,2003,42,3.9,1429
DE,2004,46,4.2,1423
DE,2005,46,3.9,1398
DE,2006,43,4,1369
DE,2007,47,4,1368
DE,2008,52,3.4,1461
DE,2009,44,3.8,1442
DE,2010,40,7.2,1405
DE,2011,39,8.7,1372
DE,2012,39,7.9,1377
DE,2013,38,7.1,1363
DE,2014,38,7.2,1348
DE,2015,38,6.1,1354
DE,2016,48,5,1365
DE,2017,48,4.5,1365
FL,2000,453,4,4151
FL,2001,431,3.7,4216
FL,2002,383,3.8,4220
FL,2003,407,6,4132
FL,2004,414,5.4,4124
FL,2005,401,4.8,4123
FL,2006,397,4.2,4183
FL,2007,455,3.2,4356
FL,2008,482,3.5,4438
FL,2009,411,5,4460
FL,2010,392,9.1,4357
FL,2011,460,11.2,4325
FL,2012,440,10.5,4341
FL,2013,414,8.8,4417
FL,2014,455,7.7,4484
FL,2015,546,6.6,4577
FL,2016,456,5.7,4661
FL,2017,456,5,4661
GA,2000,237,4.1,3899
GA,2001,256,3.7,3933
GA,2002,219,3.5,3971
GA,2003,249,5,3810
GA,2004,242,5,3756
GA,2005,190,4.3,3696
GA,2006,176,5.3,3751
GA,2007,186,4.9,3855
GA,2008,151,4.4,3968
GA,2009,177,5.3,4002
GA,2010,153,8.9,3883
GA,2011,153,10.4,3856
GA,2012,171,10.4,3905
GA,2013,209,9.6,3933
GA,2014,170,8.6,3974
GA,2015,162,7.4,4095
GA,2016,165,6.3,4184
GA,2017,165,5.6,4184
HI,2000,125,2.7,802
HI,2001,118,2.4,799
HI,2002,120,3,802
HI,2003,122,3.9,792
HI,2004,126,4.3,804
